Hospital overall rating,Mortality national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Median Time Spent in Emergency Department Before Leaving,Median Time Spent in Emergency Department After Doctor Decides to Admit as Inpatient,Median Household Income,% of 25+ with High School Degree or Higher,% of 25+ with Bachelor Degree or Higher,Median Age,%65+,%White,%Black,%Hispanic/Latino
3.0,0.0,0.0,,0.0,0.0,123.0,69.0,47068.0,85.0,10.3,40.9,17.8,98.5,1.0,4.2
2.0,-1.0,-1.0,-1.0,0.0,1.0,122.0,65.0,36227.0,78.4,14.7,45.0,20.8,94.7,5.2,9.8
,,,,0.0,1.0,100.0,40.0,24103.0,79.7,12.0,39.5,18.0,59.9,40.7,1.1
1.0,0.0,-1.0,-1.0,-1.0,-1.0,172.0,177.0,28921.0,69.6,19.5,34.1,12.6,14.9,43.7,59.1
,,0.0,,,,95.0,,51875.0,91.8,20.4,47.1,24.1,99.5,0.1,1.2
5.0,1.0,1.0,1.0,0.0,-1.0,210.0,271.0,54653.0,98.8,93.9,22.4,4.5,64.7,7.0,14.6
,,,,,,,,30580.0,72.7,9.2,39.9,17.5,41.2,60.3,2.2
2.0,0.0,-1.0,-1.0,0.0,-1.0,258.0,313.0,49801.0,56.0,6.8,29.8,7.4,56.4,9.1,87.6
5.0,1.0,-1.0,1.0,0.0,0.0,222.0,86.0,90813.0,92.0,64.8,35.0,12.6,69.5,15.9,22.2
5.0,1.0,-1.0,0.0,0.0,0.0,174.0,132.0,113536.0,96.3,58.5,42.1,16.5,75.7,4.2,2.0
5.0,0.0,1.0,1.0,1.0,0.0,136.0,135.0,95223.0,95.0,33.6,40.7,19.7,31.6,3.3,8.7
4.0,0.0,1.0,0.0,0.0,0.0,119.0,72.0,51684.0,93.5,21.2,47.1,23.0,98.5,0.3,1.1
2.0,0.0,-1.0,0.0,0.0,1.0,122.0,106.0,72972.0,93.5,49.3,39.4,20.0,90.2,7.5,10.6
3.0,1.0,-1.0,0.0,0.0,-1.0,236.0,223.0,187159.0,97.0,72.0,47.2,22.8,82.5,1.2,6.2
3.0,0.0,-1.0,-1.0,0.0,-1.0,169.0,190.0,57521.0,73.1,18.4,32.7,11.2,55.5,9.8,67.4
2.0,1.0,-1.0,,0.0,,206.0,,63653.0,85.4,32.6,42.7,18.9,96.4,2.9,85.2
4.0,0.0,1.0,1.0,0.0,-1.0,223.0,138.0,56370.0,71.6,12.2,27.4,6.3,60.5,9.0,66.0
,,,,,,,,50400.0,89.5,35.9,41.6,18.5,28.2,3.8,6.2
2.0,0.0,1.0,-1.0,0.0,-1.0,157.0,187.0,52696.0,83.3,25.6,40.7,18.7,64.6,16.5,12.9
,,,,,,,,22739.0,56.3,6.7,40.7,21.9,81.4,0.9,98.2
4.0,0.0,1.0,-1.0,0.0,1.0,141.0,82.0,79592.0,78.2,20.9,37.2,11.4,55.5,7.5,52.7
4.0,,0.0,1.0,0.0,1.0,96.0,52.0,51097.0,92.6,20.6,41.8,18.7,97.3,2.1,0.8
,,,,,0.0,82.0,84.0,44748.0,79.6,13.2,40.4,16.1,76.9,22.1,3.2
,,,,,,,,49845.0,91.1,32.7,43.3,18.8,24.4,74.9,2.3
,,,1.0,0.0,1.0,120.0,26.0,62636.0,92.5,23.4,43.9,18.2,97.6,1.0,1.3
4.0,,,0.0,0.0,,,55.0,88053.0,89.0,28.4,38.8,14.5,77.3,7.6,25.6
3.0,0.0,0.0,0.0,0.0,1.0,129.0,43.0,51638.0,90.9,17.5,39.6,18.5,87.4,3.2,13.6
,,,,,,126.0,,54022.0,87.8,19.7,37.7,11.9,95.6,0.1,23.5
2.0,0.0,1.0,-1.0,0.0,-1.0,181.0,217.0,154187.0,95.6,66.0,49.0,21.1,76.7,1.1,5.9
4.0,0.0,1.0,,,0.0,103.0,98.0,37434.0,77.5,10.3,41.1,19.6,88.9,8.8,2.4
3.0,0.0,-1.0,0.0,0.0,-1.0,162.0,127.0,49312.0,92.5,33.6,43.6,20.3,93.9,3.6,7.4
3.0,0.0,1.0,1.0,0.0,-1.0,174.0,142.0,60326.0,93.9,46.5,45.3,22.3,94.9,2.9,3.5
2.0,-1.0,1.0,-1.0,0.0,0.0,121.0,94.0,35833.0,84.3,20.7,29.6,7.0,22.9,75.1,5.1
3.0,0.0,-1.0,1.0,,1.0,111.0,36.0,42731.0,86.4,14.6,43.4,21.2,94.5,6.7,2.8
,,,,,,102.0,,84559.0,87.5,17.4,31.1,9.2,26.9,3.6,2.5
3.0,0.0,0.0,,0.0,1.0,84.0,40.0,54988.0,91.6,20.8,52.1,25.1,98.7,1.1,1.2
,,0.0,,,,99.0,,56484.0,92.1,32.9,38.3,19.7,95.9,1.8,1.9
3.0,0.0,-1.0,-1.0,0.0,0.0,133.0,74.0,48469.0,76.3,17.9,36.6,15.7,71.2,14.4,42.6
4.0,0.0,1.0,0.0,0.0,1.0,86.0,36.0,35870.0,76.9,13.0,45.3,20.6,98.2,1.5,2.1
4.0,0.0,1.0,1.0,0.0,0.0,149.0,79.0,72541.0,87.0,20.9,33.1,10.1,89.5,2.7,36.9
,,,,,,,,70290.0,90.8,31.2,37.3,15.4,93.6,1.2,27.2
2.0,0.0,0.0,-1.0,-1.0,-1.0,224.0,264.0,40261.0,85.2,18.9,38.8,16.9,5.0,94.6,3.4
1.0,0.0,-1.0,-1.0,1.0,1.0,147.0,67.0,35291.0,77.6,18.9,38.2,15.4,96.8,2.2,1.8
2.0,-1.0,1.0,0.0,0.0,0.0,154.0,105.0,42482.0,92.4,50.5,31.8,12.2,87.7,5.4,7.5
,,,,,1.0,119.0,30.0,34737.0,85.3,11.9,38.3,18.3,56.2,42.7,2.5
1.0,0.0,-1.0,-1.0,0.0,-1.0,166.0,234.0,57591.0,84.9,21.0,38.9,15.2,84.3,11.0,8.4
3.0,0.0,0.0,-1.0,0.0,1.0,108.0,37.0,36198.0,79.7,20.9,38.1,16.7,53.0,46.7,0.7
3.0,0.0,0.0,,0.0,0.0,133.0,113.0,49755.0,78.5,16.0,35.0,15.8,84.3,15.3,8.8
4.0,0.0,0.0,1.0,0.0,1.0,109.0,72.0,47017.0,89.8,21.5,43.6,21.8,94.5,0.9,9.7
4.0,0.0,0.0,0.0,0.0,1.0,126.0,52.0,44657.0,84.0,20.4,40.7,19.1,89.5,10.2,4.1
,,,,,,72.0,,48424.0,92.3,22.3,49.8,29.4,98.4,0.0,1.6
2.0,0.0,-1.0,0.0,0.0,0.0,139.0,89.0,41927.0,90.2,19.0,44.5,21.5,90.3,10.2,1.1
3.0,0.0,1.0,1.0,0.0,-1.0,169.0,202.0,64723.0,91.1,34.9,35.6,12.7,89.7,5.0,4.4
,,0.0,,,,,30.0,27147.0,79.6,14.3,41.5,18.8,50.7,47.9,0.7
,,,,,1.0,117.0,16.0,63333.0,79.5,21.4,35.2,13.3,95.2,0.9,35.8
,,,0.0,,1.0,114.0,54.0,51054.0,80.0,16.0,39.5,18.8,93.0,0.8,16.5
3.0,1.0,0.0,0.0,0.0,-1.0,201.0,297.0,44559.0,76.5,25.9,36.1,14.8,48.5,30.2,42.8
,,,,,1.0,112.0,38.0,40208.0,95.5,21.3,56.3,31.1,98.9,0.8,0.7
4.0,0.0,-1.0,1.0,0.0,0.0,203.0,80.0,175840.0,97.8,73.0,42.9,12.2,76.7,1.5,11.3
,,,,,1.0,82.0,20.0,38728.0,78.3,15.4,48.1,21.9,99.9,0.0,0.0
4.0,0.0,0.0,,0.0,0.0,104.0,69.0,39961.0,88.8,15.1,44.4,21.4,97.1,2.4,1.4
3.0,0.0,-1.0,1.0,,1.0,68.0,25.0,58221.0,93.1,30.6,38.7,18.3,97.0,2.6,5.9
,0.0,-1.0,,,,,,26207.0,74.8,13.9,35.9,15.3,42.2,56.9,0.6
4.0,0.0,-1.0,1.0,0.0,1.0,119.0,82.0,37863.0,89.3,22.2,39.2,15.6,42.6,55.1,0.8
,,,,,,105.0,,48177.0,90.6,26.3,47.8,19.4,95.1,2.8,5.6
,,,,,0.0,110.0,5.0,37778.0,88.6,22.6,48.1,24.5,98.2,0.8,5.8
5.0,,1.0,1.0,0.0,1.0,113.0,43.0,48167.0,82.9,14.2,43.7,19.3,90.2,7.2,9.2
3.0,0.0,-1.0,0.0,0.0,0.0,129.0,68.0,56513.0,88.2,16.6,38.9,15.6,93.5,5.4,1.9
,,,,,1.0,150.0,10.0,55192.0,92.9,19.4,41.8,17.9,94.1,0.6,1.3
5.0,0.0,1.0,0.0,0.0,1.0,124.0,48.0,43709.0,89.1,18.2,43.1,19.4,93.3,6.8,2.9
,,,,,,,,50162.0,85.3,28.8,34.1,12.1,69.3,19.7,10.7
