Hospital overall rating,Mortality national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Median Time Spent in Emergency Department Before Leaving,Median Time Spent in Emergency Department After Doctor Decides to Admit as Inpatient,Median Household Income,% of 25+ with High School Degree or Higher,% of 25+ with Bachelor Degree or Higher,Median Age,%65+,%White,%Black,%Hispanic/Latino
3.0,0.0,0.0,0.0,0.0,1.0,134.0,66.0,50597.0,87.6,23.7,60.2,40.7,88.6,1.1,20.9
5.0,1.0,1.0,0.0,0.0,-1.0,202.0,244.0,58598.0,72.2,16.2,34.6,13.2,75.5,4.3,71.7
2.0,-1.0,1.0,-1.0,0.0,-1.0,130.0,168.0,37519.0,78.9,18.3,33.7,13.5,87.9,9.8,9.4
4.0,0.0,1.0,1.0,0.0,1.0,119.0,50.0,63137.0,94.2,16.8,41.5,17.5,98.4,0.7,2.7
2.0,0.0,-1.0,0.0,0.0,0.0,133.0,79.0,42067.0,82.2,14.4,39.7,17.4,79.3,19.9,3.8
3.0,0.0,1.0,0.0,-1.0,-1.0,230.0,172.0,34928.0,87.2,18.0,32.8,11.5,16.3,79.7,3.6
2.0,0.0,-1.0,0.0,0.0,0.0,158.0,89.0,46743.0,89.2,14.2,50.0,30.8,93.0,1.6,22.5
4.0,,0.0,0.0,,,,,29821.0,93.5,34.2,26.9,9.2,86.9,7.3,2.1
3.0,0.0,0.0,1.0,0.0,0.0,131.0,94.0,51875.0,90.3,25.3,38.3,18.1,97.6,1.9,1.2
3.0,0.0,1.0,0.0,0.0,0.0,197.0,70.0,38532.0,83.2,11.5,47.3,26.1,95.5,1.6,10.9
4.0,0.0,0.0,1.0,,1.0,99.0,73.0,86500.0,97.1,61.9,46.3,31.4,97.1,1.4,3.4
4.0,,0.0,,,1.0,100.0,41.0,51085.0,90.8,15.1,49.8,25.2,98.9,0.4,2.2
,,1.0,,,0.0,126.0,53.0,41250.0,81.6,13.5,47.7,24.6,88.1,0.6,15.1
,,,,,0.0,146.0,49.0,51250.0,87.4,11.0,42.5,14.9,98.9,0.5,1.9
3.0,0.0,0.0,,0.0,0.0,131.0,97.0,42952.0,86.8,15.5,42.2,19.1,90.0,8.7,6.2
,,,,,1.0,98.0,17.0,50893.0,90.4,26.6,47.5,26.1,99.4,0.1,2.6
,0.0,1.0,,,,,,53061.0,90.7,31.0,45.1,20.5,96.6,0.5,2.4
4.0,1.0,1.0,-1.0,-1.0,-1.0,133.0,170.0,20063.0,84.4,9.4,33.3,12.3,16.4,85.5,1.3
5.0,1.0,1.0,1.0,1.0,0.0,132.0,126.0,19188.0,96.2,69.5,21.0,1.2,74.6,8.1,17.7
3.0,,0.0,0.0,,1.0,104.0,58.0,41981.0,84.9,18.1,42.3,19.2,97.4,2.8,1.5
3.0,0.0,0.0,,,1.0,121.0,37.0,51467.0,94.7,23.5,49.5,25.2,96.8,0.0,3.1
4.0,0.0,1.0,1.0,0.0,0.0,152.0,102.0,81234.0,95.1,44.9,45.2,19.3,84.9,3.6,14.4
4.0,0.0,-1.0,1.0,,0.0,,95.0,52941.0,92.6,40.8,47.4,26.9,94.8,2.9,0.8
,,-1.0,,,,,,36531.0,89.9,19.6,56.1,32.8,91.2,0.7,6.9
,,,,,,,,111636.0,98.5,64.2,39.8,11.8,92.3,1.9,7.9
3.0,0.0,0.0,-1.0,0.0,0.0,146.0,76.0,65203.0,66.9,13.7,32.2,9.3,48.8,2.8,74.5
5.0,0.0,1.0,0.0,0.0,1.0,124.0,47.0,79505.0,94.6,48.2,45.5,24.3,82.3,15.5,5.6
4.0,0.0,1.0,1.0,0.0,-1.0,173.0,163.0,61031.0,86.5,22.2,43.5,17.4,84.1,10.0,26.6
3.0,-1.0,-1.0,1.0,0.0,1.0,130.0,68.0,49238.0,91.3,29.4,38.8,17.2,86.5,2.4,3.1
4.0,0.0,1.0,-1.0,1.0,-1.0,146.0,175.0,36751.0,79.9,14.3,42.0,18.5,72.0,23.7,7.6
1.0,0.0,0.0,-1.0,0.0,-1.0,168.0,118.0,36079.0,77.0,19.3,33.6,15.0,63.2,17.5,12.5
3.0,0.0,-1.0,0.0,0.0,-1.0,120.0,118.0,75368.0,92.1,24.1,43.8,16.3,97.9,1.7,3.0
5.0,0.0,1.0,0.0,0.0,0.0,142.0,142.0,78560.0,95.5,44.6,38.6,16.8,88.8,3.2,10.6
,,,,,,,,36032.0,87.3,30.1,33.7,10.6,39.8,61.2,4.1
,,,,,,80.0,,41444.0,89.0,17.0,32.4,15.7,38.8,1.8,5.3
3.0,0.0,1.0,0.0,0.0,0.0,163.0,103.0,56476.0,94.1,30.2,40.8,17.0,77.3,15.1,16.4
,,,,,,83.0,,45995.0,84.3,10.7,41.0,21.2,95.6,0.9,6.6
5.0,0.0,0.0,1.0,0.0,1.0,110.0,74.0,39398.0,87.2,16.9,43.1,19.0,79.5,21.7,2.7
5.0,0.0,-1.0,1.0,1.0,0.0,153.0,60.0,81115.0,91.2,42.2,37.5,10.8,82.8,11.8,21.1
3.0,0.0,1.0,-1.0,0.0,1.0,116.0,47.0,45911.0,87.2,21.9,47.0,22.9,92.9,6.8,1.0
,,0.0,,,1.0,82.0,34.0,57954.0,89.1,17.5,43.4,18.4,97.3,0.9,2.3
2.0,-1.0,-1.0,1.0,,1.0,104.0,,45907.0,93.4,19.9,41.0,20.5,98.8,0.7,5.1
3.0,0.0,1.0,0.0,0.0,-1.0,221.0,83.0,75604.0,91.8,38.5,45.1,18.9,81.1,16.0,3.8
,,,,,,,,37340.0,88.1,62.9,21.9,7.6,67.6,9.9,15.1
2.0,-1.0,0.0,-1.0,0.0,0.0,140.0,103.0,33851.0,81.7,11.9,38.2,17.2,75.4,23.1,9.0
,,,,,1.0,96.0,10.0,19520.0,68.5,10.6,35.1,13.6,7.9,91.2,0.5
4.0,0.0,0.0,,,1.0,102.0,8.0,45313.0,92.7,24.7,44.8,26.2,100.0,0.0,0.2
4.0,0.0,1.0,1.0,,0.0,136.0,69.0,49939.0,95.3,35.6,50.0,25.3,96.7,0.7,2.7
2.0,0.0,1.0,-1.0,0.0,0.0,174.0,92.0,56084.0,92.6,49.4,38.1,16.0,81.7,14.2,7.9
1.0,0.0,-1.0,-1.0,0.0,-1.0,168.0,205.0,35627.0,75.7,16.3,35.6,13.9,50.4,15.5,51.6
3.0,0.0,-1.0,1.0,0.0,1.0,84.0,62.0,36096.0,80.8,13.5,35.3,13.4,63.9,34.6,2.0
3.0,0.0,0.0,1.0,0.0,1.0,134.0,54.0,86446.0,96.6,58.9,41.4,17.5,90.1,8.5,3.0
,,,,,0.0,115.0,28.0,41500.0,95.2,68.5,27.7,2.4,61.7,25.1,2.9
3.0,0.0,-1.0,0.0,0.0,0.0,158.0,125.0,38256.0,89.2,23.9,38.4,18.2,95.8,3.5,1.5
2.0,0.0,-1.0,1.0,-1.0,0.0,111.0,132.0,57127.0,90.7,26.7,42.3,18.7,85.6,11.7,2.0
2.0,-1.0,1.0,-1.0,0.0,-1.0,199.0,344.0,80984.0,95.9,41.8,44.3,24.2,77.9,6.7,11.7
3.0,-1.0,-1.0,1.0,0.0,0.0,162.0,112.0,39772.0,84.3,24.1,39.5,15.3,76.0,22.5,8.8
,,0.0,,,0.0,131.0,52.0,52531.0,93.4,29.2,40.4,20.7,94.3,4.6,3.3
2.0,0.0,-1.0,-1.0,0.0,-1.0,142.0,128.0,30694.0,81.5,11.0,31.0,12.3,22.3,73.3,11.5
,,,,,,,,46300.0,66.7,12.0,30.1,7.6,74.5,17.9,68.1
3.0,1.0,-1.0,0.0,0.0,-1.0,247.0,394.0,127375.0,98.6,82.2,39.8,21.5,87.6,2.4,6.6
,,,,,1.0,110.0,76.0,51016.0,91.3,16.8,38.9,21.7,90.4,0.3,3.1
,,,,,,157.0,135.0,83047.0,97.9,48.4,23.9,5.4,68.2,26.3,10.9
4.0,0.0,1.0,0.0,0.0,1.0,79.0,32.0,56663.0,87.0,20.0,35.6,14.2,93.4,1.9,14.7
2.0,0.0,1.0,1.0,0.0,0.0,147.0,148.0,57398.0,94.9,45.9,40.9,19.1,96.1,1.1,4.2
2.0,0.0,0.0,-1.0,1.0,-1.0,241.0,206.0,57784.0,83.9,35.4,29.9,9.6,88.5,2.2,85.8
2.0,,0.0,-1.0,0.0,0.0,104.0,115.0,102536.0,88.1,41.7,39.4,15.0,80.7,2.2,35.5
,,,0.0,0.0,,113.0,,30625.0,82.0,16.4,39.4,18.2,22.4,76.0,1.6
,,-1.0,,,,,,51979.0,71.5,15.1,37.2,19.1,97.0,1.9,60.5
,,0.0,,,,,56.0,23273.0,87.3,17.1,30.4,9.8,9.2,0.2,2.2
,,,,,,,,59421.0,83.4,31.1,36.1,13.3,79.1,2.5,20.3
,,,,,,,106.0,71534.0,94.0,32.6,38.8,14.5,77.4,1.5,6.5
,,,,,1.0,93.0,32.0,38320.0,82.9,11.0,52.9,26.7,97.3,1.2,3.3
3.0,0.0,-1.0,,0.0,0.0,100.0,48.0,28750.0,87.4,21.8,38.4,15.0,42.4,56.8,0.6
3.0,0.0,-1.0,1.0,-1.0,1.0,89.0,101.0,45596.0,85.5,20.9,42.3,20.6,75.0,23.1,5.6
5.0,0.0,1.0,1.0,0.0,0.0,151.0,101.0,81807.0,93.3,52.8,38.5,18.6,84.3,6.0,15.9
,,,,0.0,,92.0,,53882.0,89.7,17.0,41.5,17.5,98.1,0.9,3.7
3.0,0.0,0.0,0.0,0.0,0.0,134.0,66.0,39697.0,85.2,21.5,44.5,19.6,94.9,5.9,3.7
2.0,0.0,-1.0,0.0,0.0,1.0,132.0,51.0,38604.0,82.1,14.6,41.8,20.0,96.6,1.7,1.5
1.0,0.0,-1.0,-1.0,0.0,-1.0,166.0,105.0,38430.0,85.0,19.0,39.6,17.4,82.2,16.1,6.1
4.0,0.0,1.0,0.0,,1.0,90.0,10.0,53414.0,96.4,42.6,31.3,14.6,91.0,3.3,3.9
3.0,0.0,-1.0,0.0,,-1.0,160.0,101.0,62050.0,91.7,18.3,42.5,18.1,97.0,1.4,4.2
,,,0.0,0.0,-1.0,128.0,140.0,26530.0,82.4,17.5,35.3,12.9,3.7,95.6,1.5
2.0,-1.0,1.0,-1.0,-1.0,-1.0,206.0,108.0,48235.0,83.4,31.3,36.0,13.3,54.5,42.9,8.6
1.0,0.0,-1.0,-1.0,0.0,-1.0,210.0,298.0,84612.0,83.7,23.7,31.8,8.9,40.8,24.1,47.6
3.0,0.0,0.0,-1.0,0.0,-1.0,178.0,189.0,30830.0,82.0,19.8,34.6,14.6,14.7,84.3,3.2
3.0,,0.0,,0.0,0.0,112.0,101.0,47055.0,84.9,20.8,37.0,16.5,83.8,1.7,26.2
3.0,0.0,1.0,-1.0,0.0,1.0,118.0,70.0,,0.0,0.0,,100.0,100.0,0.0,0.0
,,,,,,,,41048.0,66.6,10.5,30.4,11.2,78.9,1.1,64.9
5.0,0.0,1.0,0.0,0.0,0.0,123.0,89.0,41427.0,80.6,12.9,36.0,16.0,90.0,2.5,34.8
,,,,,,,,42500.0,70.8,6.7,39.8,9.7,64.6,36.0,2.6
2.0,0.0,-1.0,0.0,0.0,0.0,127.0,168.0,52396.0,89.1,20.7,42.1,18.9,96.6,2.5,0.7
3.0,0.0,-1.0,,0.0,0.0,138.0,88.0,42052.0,83.4,19.2,43.3,23.3,59.3,37.8,3.8
,,,,,1.0,114.0,10.0,46058.0,94.4,27.3,52.6,28.3,97.7,0.0,5.4
3.0,0.0,-1.0,0.0,0.0,0.0,166.0,80.0,139669.0,97.1,62.6,34.9,7.2,67.7,9.5,21.6
1.0,0.0,-1.0,-1.0,0.0,-1.0,230.0,282.0,115506.0,94.6,38.9,43.6,15.8,96.2,1.3,8.6
5.0,0.0,1.0,1.0,0.0,0.0,158.0,57.0,55293.0,96.0,54.4,23.5,9.6,92.9,0.8,8.6
3.0,0.0,0.0,,0.0,1.0,105.0,56.0,44889.0,84.0,21.2,42.4,17.7,80.9,19.4,2.3
3.0,0.0,0.0,-1.0,0.0,0.0,211.0,87.0,46030.0,89.5,19.9,39.1,17.0,95.9,4.7,1.3
2.0,0.0,-1.0,,0.0,-1.0,188.0,141.0,27262.0,78.5,11.3,33.3,13.0,5.5,90.9,6.4
5.0,0.0,1.0,1.0,0.0,1.0,120.0,31.0,68080.0,93.8,24.5,42.4,15.9,96.2,2.0,4.0
4.0,0.0,1.0,0.0,0.0,0.0,186.0,71.0,51531.0,98.0,65.4,35.8,13.4,76.4,14.5,5.8
,,,,0.0,1.0,94.0,15.0,53885.0,84.7,22.5,41.0,19.1,86.7,0.0,36.6
2.0,0.0,-1.0,-1.0,0.0,1.0,127.0,68.0,57815.0,91.8,30.3,44.3,18.8,89.8,7.0,11.2
3.0,1.0,-1.0,-1.0,0.0,-1.0,154.0,172.0,60873.0,84.8,37.6,40.8,17.9,67.3,6.6,10.8
5.0,0.0,1.0,0.0,0.0,1.0,99.0,75.0,46331.0,86.1,16.6,44.7,23.1,97.9,0.8,3.2
5.0,1.0,1.0,-1.0,0.0,-1.0,148.0,139.0,70289.0,91.0,25.3,39.6,15.2,95.8,1.1,14.2
3.0,0.0,0.0,-1.0,0.0,0.0,138.0,134.0,85437.0,95.8,65.3,44.0,20.4,72.2,20.2,6.9
2.0,1.0,0.0,0.0,-1.0,-1.0,300.0,274.0,49294.0,72.0,30.0,34.5,9.3,75.9,16.1,44.4
3.0,0.0,0.0,0.0,0.0,1.0,104.0,61.0,48174.0,81.0,13.2,36.4,15.0,90.1,8.3,2.5
4.0,0.0,-1.0,1.0,0.0,0.0,140.0,83.0,48109.0,88.5,32.8,27.0,12.2,93.5,2.2,19.1
4.0,0.0,1.0,,,1.0,78.0,32.0,44879.0,74.4,15.5,40.1,15.0,93.6,6.7,3.7
2.0,0.0,-1.0,0.0,0.0,1.0,115.0,73.0,44019.0,83.5,18.1,44.8,20.5,96.7,2.4,1.2
3.0,0.0,0.0,,0.0,1.0,,43.0,55063.0,91.1,24.3,45.0,22.5,97.3,2.3,3.7
4.0,0.0,1.0,1.0,0.0,0.0,132.0,113.0,101605.0,96.2,47.2,34.4,15.6,72.0,4.2,10.9
3.0,0.0,0.0,-1.0,0.0,,,64.0,37956.0,86.6,33.2,31.8,13.2,58.7,16.0,26.7
,,,,0.0,,,,38731.0,81.7,14.3,37.1,13.5,61.3,25.3,2.1
5.0,0.0,1.0,0.0,0.0,-1.0,146.0,160.0,56089.0,88.3,31.9,35.3,15.4,61.1,34.8,5.8
,,,,,1.0,55.0,31.0,45313.0,85.7,23.0,45.3,22.9,96.0,0.3,24.9
3.0,1.0,1.0,-1.0,-1.0,-1.0,234.0,238.0,77087.0,85.5,29.1,36.6,12.5,12.0,70.5,21.2
,,,,,,,,50400.0,89.5,35.9,41.6,18.5,28.2,3.8,6.2
5.0,0.0,1.0,1.0,0.0,1.0,108.0,54.0,49576.0,92.4,14.7,41.3,19.3,95.5,3.6,2.7
3.0,0.0,1.0,-1.0,0.0,0.0,129.0,78.0,46946.0,90.1,19.0,44.1,21.0,93.5,4.3,13.2
4.0,1.0,-1.0,1.0,0.0,-1.0,169.0,139.0,,,,,0.0,50.0,50.0,0.0
4.0,0.0,0.0,1.0,0.0,1.0,115.0,38.0,45145.0,86.5,18.4,47.8,25.5,97.4,0.9,3.4
3.0,,0.0,,0.0,,107.0,,32392.0,76.3,14.0,44.8,19.7,99.1,0.6,0.9
2.0,-1.0,-1.0,-1.0,0.0,0.0,140.0,152.0,36243.0,79.2,12.4,35.2,13.2,62.9,34.9,11.6
2.0,0.0,-1.0,0.0,0.0,-1.0,173.0,206.0,77185.0,91.6,36.2,39.4,17.1,88.7,2.9,33.6
4.0,0.0,0.0,1.0,0.0,0.0,145.0,97.0,57523.0,94.0,26.3,44.6,22.1,97.0,1.9,0.5
3.0,0.0,1.0,0.0,1.0,1.0,140.0,69.0,56429.0,86.3,24.6,37.1,16.0,94.2,2.7,8.7
4.0,-1.0,1.0,1.0,0.0,1.0,129.0,42.0,50234.0,90.4,30.2,37.0,16.9,87.9,3.9,4.6
,,,,0.0,1.0,81.0,44.0,46772.0,93.2,18.3,44.3,19.8,96.6,3.2,1.8
,,,,,,84.0,,61923.0,93.5,18.1,41.2,20.3,94.5,3.7,0.7
2.0,-1.0,0.0,-1.0,0.0,0.0,246.0,92.0,47789.0,92.5,33.4,38.3,15.0,95.1,2.2,1.6
2.0,0.0,-1.0,0.0,0.0,1.0,133.0,82.0,50993.0,90.8,19.4,39.4,14.4,93.8,3.3,5.2
,,,,0.0,1.0,122.0,27.0,51150.0,87.4,13.8,46.6,18.9,97.1,0.8,1.5
3.0,1.0,-1.0,0.0,-1.0,-1.0,190.0,196.0,24664.0,78.6,8.9,33.8,16.0,4.1,95.5,2.5
2.0,1.0,-1.0,0.0,0.0,-1.0,202.0,107.0,104167.0,93.0,63.4,35.2,10.2,87.9,3.7,27.0
5.0,0.0,1.0,1.0,0.0,0.0,130.0,90.0,43396.0,87.7,23.4,44.4,21.9,94.9,0.7,21.9
5.0,1.0,-1.0,1.0,0.0,-1.0,222.0,288.0,95161.0,95.1,81.3,33.1,11.8,82.0,5.1,11.8
,,1.0,,,,,,79926.0,83.4,22.8,37.5,14.4,41.4,4.1,61.8
4.0,0.0,-1.0,1.0,1.0,0.0,132.0,81.0,48094.0,89.1,16.5,39.7,17.5,98.6,2.0,3.8
,,,,,,,,56786.0,91.7,41.4,38.6,18.2,77.0,13.1,17.0
5.0,1.0,1.0,-1.0,0.0,1.0,147.0,56.0,91034.0,94.2,43.5,42.6,18.5,93.2,2.1,10.7
,,,,0.0,0.0,98.0,33.0,71061.0,95.4,36.7,40.5,20.5,98.3,1.7,0.5
5.0,1.0,1.0,1.0,0.0,1.0,115.0,124.0,30561.0,90.7,56.3,21.8,4.3,80.9,4.2,7.0
5.0,0.0,1.0,1.0,0.0,0.0,169.0,69.0,44614.0,91.0,20.7,43.5,19.5,97.9,1.5,1.9
4.0,0.0,1.0,,,1.0,110.0,80.0,37830.0,87.3,14.3,41.0,20.6,98.4,1.8,2.1
,,,,,,,,51831.0,92.1,28.6,43.3,19.5,91.2,1.5,8.5
2.0,,0.0,0.0,,1.0,130.0,35.0,52118.0,91.1,20.6,42.1,19.8,92.7,1.5,6.9
3.0,0.0,-1.0,0.0,0.0,-1.0,198.0,134.0,108718.0,97.1,66.8,43.9,16.1,73.9,8.4,6.5
4.0,0.0,0.0,1.0,,1.0,103.0,42.0,51539.0,91.2,21.5,44.1,21.6,97.1,1.1,1.4
,,,,,1.0,84.0,15.0,49688.0,94.3,20.9,46.7,25.0,98.4,0.0,0.5
,,,,,,113.0,178.0,33653.0,80.7,16.9,35.4,15.8,53.6,38.4,8.5
5.0,,,1.0,,1.0,68.0,49.0,34943.0,87.5,21.8,29.1,8.9,39.4,56.8,12.1
1.0,0.0,-1.0,-1.0,-1.0,-1.0,218.0,204.0,21285.0,76.8,12.2,42.1,22.2,10.7,87.4,1.9
4.0,-1.0,0.0,1.0,0.0,0.0,175.0,92.0,51930.0,89.0,19.9,38.8,15.3,83.2,16.6,6.5
4.0,,1.0,,0.0,1.0,128.0,45.0,57949.0,91.4,17.8,45.3,19.0,98.9,0.7,1.2
3.0,0.0,-1.0,-1.0,0.0,0.0,159.0,273.0,52435.0,89.8,26.5,37.7,19.2,93.0,6.3,2.4
3.0,0.0,1.0,0.0,0.0,0.0,114.0,117.0,50399.0,86.9,30.5,59.4,38.7,67.5,31.4,0.5
,,,1.0,,,,,52005.0,86.7,27.2,36.5,15.3,80.4,16.1,19.1
1.0,-1.0,-1.0,-1.0,0.0,0.0,138.0,148.0,84366.0,96.8,37.4,45.5,20.1,95.1,0.6,8.5
3.0,0.0,-1.0,0.0,0.0,0.0,131.0,86.0,64481.0,90.1,30.3,40.0,14.6,72.9,24.0,8.0
,,0.0,,,1.0,107.0,42.0,46948.0,85.4,17.6,38.5,18.7,75.3,19.4,13.7
,,,,,0.0,122.0,42.0,36850.0,77.6,11.1,36.5,16.2,99.7,0.3,0.5
5.0,0.0,1.0,1.0,0.0,0.0,162.0,103.0,107284.0,94.1,55.1,39.4,12.4,82.0,3.4,7.4
,,,,0.0,,,,73076.0,97.8,73.4,36.6,15.0,90.8,4.5,8.7
4.0,,0.0,1.0,,1.0,130.0,55.0,46382.0,88.4,12.9,39.7,21.5,96.8,1.9,2.4
,,,1.0,0.0,0.0,76.0,,101462.0,96.9,53.7,36.7,9.7,78.8,11.3,10.2
4.0,0.0,1.0,,0.0,0.0,126.0,44.0,46590.0,90.3,25.8,57.7,37.7,97.5,1.6,0.2
,,,,,,,,36023.0,76.5,11.4,54.1,25.5,34.5,63.9,2.5
3.0,-1.0,1.0,-1.0,0.0,0.0,145.0,60.0,50722.0,92.3,21.1,42.7,19.1,95.0,3.5,6.0
3.0,0.0,-1.0,0.0,0.0,-1.0,206.0,80.0,97031.0,95.4,60.5,45.8,21.5,84.3,3.1,5.0
2.0,0.0,-1.0,,,1.0,127.0,70.0,34048.0,81.4,12.7,43.7,21.8,97.3,0.8,1.5
3.0,0.0,1.0,-1.0,0.0,-1.0,163.0,196.0,39642.0,85.4,21.6,35.2,14.3,54.8,43.2,2.2
4.0,0.0,-1.0,1.0,0.0,0.0,118.0,91.0,52599.0,92.2,23.3,47.1,23.4,98.5,0.6,0.9
2.0,0.0,-1.0,0.0,0.0,1.0,85.0,32.0,32477.0,75.0,13.0,44.4,21.0,95.3,4.1,3.7
4.0,,,1.0,0.0,1.0,146.0,17.0,84994.0,95.3,44.9,36.6,11.7,73.8,23.2,3.0
5.0,0.0,1.0,1.0,0.0,0.0,121.0,47.0,42000.0,85.0,18.5,45.7,23.9,97.0,1.3,0.6
3.0,0.0,-1.0,0.0,0.0,0.0,155.0,97.0,39126.0,80.3,17.3,40.2,19.7,32.5,64.0,3.8
,,,,,,,,20874.0,82.3,24.3,34.6,13.7,19.5,81.4,0.3
,,,,,1.0,100.0,43.0,65730.0,95.8,30.5,41.3,17.4,98.1,1.7,3.3
4.0,0.0,1.0,1.0,1.0,-1.0,166.0,101.0,45278.0,88.8,24.6,44.6,20.5,96.5,1.1,1.4
,,1.0,,,0.0,112.0,25.0,50163.0,92.2,24.2,47.9,23.2,96.0,1.3,3.0
,,,,,,335.0,,24583.0,75.2,9.2,31.9,13.5,1.7,0.9,1.8
3.0,1.0,-1.0,0.0,0.0,-1.0,198.0,187.0,79483.0,94.4,49.5,42.0,17.3,95.3,2.8,4.5
4.0,0.0,0.0,1.0,,,,106.0,82045.0,98.5,42.3,43.0,25.5,94.3,7.7,1.9
2.0,0.0,0.0,0.0,0.0,-1.0,171.0,149.0,72770.0,91.6,37.0,45.3,20.5,46.5,45.6,9.0
3.0,0.0,1.0,-1.0,0.0,-1.0,141.0,208.0,54161.0,86.0,32.0,36.6,11.9,86.6,4.1,27.7
4.0,0.0,1.0,0.0,0.0,1.0,104.0,67.0,40828.0,88.7,23.2,45.6,23.3,95.7,2.4,1.3
4.0,,0.0,,,1.0,111.0,33.0,46947.0,87.5,11.0,43.6,19.0,97.9,0.8,2.7
5.0,1.0,1.0,1.0,1.0,0.0,154.0,136.0,106429.0,85.1,50.2,36.9,10.9,62.2,7.1,26.2
2.0,0.0,1.0,-1.0,,1.0,91.0,30.0,46548.0,87.4,16.3,46.6,21.3,98.9,0.8,1.3
5.0,1.0,1.0,1.0,0.0,0.0,149.0,102.0,111420.0,95.9,59.5,39.5,15.0,91.0,1.6,8.3
4.0,0.0,1.0,0.0,0.0,1.0,107.0,67.0,77074.0,96.1,45.6,34.4,12.2,80.8,10.8,19.6
3.0,1.0,-1.0,-1.0,0.0,-1.0,224.0,163.0,71689.0,93.4,36.5,40.8,16.2,93.2,5.1,4.4
3.0,0.0,0.0,0.0,0.0,0.0,132.0,51.0,57027.0,91.4,28.5,46.0,22.9,84.2,0.9,20.0
,,,,,1.0,106.0,21.0,50917.0,94.9,14.6,46.5,24.2,98.8,0.1,2.0
,,,,,,164.0,,59097.0,91.7,29.6,30.3,13.8,76.5,1.7,5.2
,,0.0,1.0,,,,,52707.0,97.1,51.9,33.0,12.0,98.2,1.3,12.5
3.0,0.0,-1.0,-1.0,0.0,1.0,150.0,78.0,89078.0,91.7,37.3,35.4,10.6,72.2,20.1,10.9
,,,1.0,0.0,,,,43565.0,94.7,46.2,25.2,8.5,87.3,7.0,7.5
4.0,0.0,1.0,1.0,0.0,0.0,125.0,78.0,40625.0,83.1,20.5,34.2,14.5,78.8,8.4,8.3
,,0.0,,,1.0,110.0,2.0,50556.0,95.7,26.3,45.8,24.5,94.8,1.5,8.1
2.0,-1.0,1.0,-1.0,0.0,-1.0,140.0,169.0,49155.0,95.1,40.0,33.6,16.4,94.3,3.6,2.0
,,,,,0.0,82.0,,57838.0,62.5,13.9,29.1,9.9,55.5,0.7,64.2
,,,1.0,,1.0,85.0,16.0,61905.0,89.5,20.0,46.0,21.3,97.0,0.3,3.8
4.0,0.0,0.0,0.0,0.0,1.0,133.0,70.0,71257.0,96.2,44.0,32.9,14.9,95.5,0.7,7.4
4.0,0.0,1.0,0.0,0.0,1.0,126.0,188.0,68319.0,93.4,29.2,41.8,17.4,97.3,0.9,1.1
3.0,0.0,0.0,-1.0,0.0,-1.0,168.0,261.0,75804.0,83.4,27.0,35.0,9.9,71.1,4.9,49.0
2.0,-1.0,-1.0,-1.0,0.0,-1.0,162.0,218.0,35412.0,80.5,18.2,30.8,12.1,71.5,14.2,39.2
2.0,-1.0,-1.0,1.0,0.0,1.0,106.0,62.0,44010.0,82.0,21.9,33.5,13.5,75.6,10.3,25.1
4.0,0.0,1.0,1.0,0.0,1.0,77.0,19.0,53153.0,92.6,28.3,39.1,18.8,95.4,3.4,7.4
3.0,0.0,-1.0,1.0,0.0,0.0,131.0,79.0,43406.0,89.9,20.3,41.7,17.5,78.3,22.8,2.3
2.0,0.0,-1.0,-1.0,0.0,0.0,130.0,114.0,72563.0,94.5,48.8,34.7,15.0,82.5,14.9,4.2
4.0,0.0,1.0,1.0,0.0,0.0,142.0,63.0,41582.0,93.6,27.1,48.9,29.1,98.7,0.7,2.1
2.0,0.0,-1.0,1.0,0.0,1.0,114.0,66.0,50241.0,89.4,22.1,42.4,20.4,88.2,9.1,8.3
3.0,-1.0,1.0,0.0,-1.0,-1.0,186.0,212.0,40468.0,86.7,38.6,25.0,11.1,90.5,4.8,23.8
5.0,0.0,1.0,,,0.0,,60.0,51769.0,85.0,16.8,43.9,22.2,84.2,8.6,13.0
,,,,,0.0,125.0,15.0,42799.0,88.2,16.0,47.7,21.4,97.6,1.9,1.2
,,,,,,,,49294.0,72.0,30.0,34.5,9.3,75.9,16.1,44.4
,,0.0,,,,,5.0,41365.0,86.0,23.0,43.5,18.9,97.6,0.2,3.7
,,,,,,,,58649.0,60.0,12.4,27.4,8.3,93.7,2.0,32.7
4.0,,0.0,1.0,,1.0,119.0,16.0,75063.0,89.4,40.3,29.9,16.9,95.8,1.6,10.1
,,,,,1.0,72.0,55.0,50388.0,85.3,13.9,39.1,18.6,88.5,1.0,5.9
4.0,0.0,-1.0,0.0,0.0,-1.0,136.0,120.0,60722.0,93.5,39.2,41.3,18.4,78.1,17.3,3.4
2.0,0.0,0.0,-1.0,0.0,-1.0,223.0,182.0,47131.0,84.5,17.9,35.3,13.5,19.6,78.1,2.3
,,,0.0,0.0,1.0,98.0,49.0,60255.0,92.6,19.4,43.8,20.2,97.8,1.3,5.8
3.0,1.0,1.0,-1.0,0.0,-1.0,160.0,99.0,111169.0,95.8,59.1,46.2,19.6,84.2,5.7,5.7
5.0,1.0,1.0,0.0,1.0,-1.0,181.0,153.0,117004.0,96.1,80.5,33.5,14.5,73.8,5.4,6.9
